Sentence#	Word	POS
1	ಭಾರತದ	NNP
1	ಸ್ವಾತ್ರಂತ್ರ್ಯ	NN
1	ಚಳುವಳಿಯು	NN
1	ಬ್ರಿಟಿಷ್	NNP
1	ಸಾಮ್ರಾಜ್ಯದಿಂದ	NN
1	ಸ್ವಾತ್ರಂತ್ರ್ಯವನ್ನು	NN
1	ಪಡೆಯಲು	NN
1	ಭಾರತೀಯರು	NNP
1	ನಡೆಸಿದ	NN
1	ಹೋರಾಟ	NN
1	.	SYM
2	ಇದು	PRP
2	೧೮೫೭ರಿಂದ	NN
2	೧೯೪೭ರ	NN
2	ಆಗಸ್ಟ್	NN
2	೧೫ರವರೆಗೆ	NN
2	ನಡೆದ	NN
2	ಭಾರತದ	NNP
2	ವಿವಿಧ	JJ
2	ಸಂಘ-ಸಂಸ್ಥೆಗಳ	NN
2	ತತ್ವಗಳು,	NN
2	ದಂಗೆಗಳು,	NN
2	ಹೋರಾಟಗಳು	NN
2	ಮತ್ತು	CC
2	ಪ್ರಾಣಾಹುತಿಗಳ	NN
2	ಸಂಗಮ	NN
2	.	SYM
3	೧೭೫೭ರಲ್ಲಿ	NN
3	ವಂಗದ	NN
3	ನವಾಬನಾಗಿದ್ದ	NN
3	ಸಿರಾಜುದ್ದೌಲನನ್ನು	NN
3	ಪ್ಲಾಸೀ	NN
3	ಕದನದಲ್ಲಿ	NN
3	ಪರಾಜಯಗೊಳಿಸಿದ	NN
3	ಈಸ್ಟ್	NN
3	ಇಂಡಿಯ	NNP
3	ಕಂಪನಿಯ	NN
3	ಬ್ರಿಟಿಷ್	NNP
3	ಸೈನ್ಯ,	NN
3	ಇದರಲ್ಲಿ	PRP
3	ನೆರವಾದ	NN
3	ಮೀರ್	NN
3	ಜಾಫರನಿಗೆ	NN
3	ಪಟ್ಟಕಟ್ಟಿತು	NN
3	.	SYM
4	ಅಲ್ಪ	QF
4	ಕಾಲಾನಂತರ	NN
4	ಕಂಪನಿಯ	NN
4	ಅಧಿಕಾರಿ	NN
