	Sentence#	Word	POS	Tag
0	1	ಭಾರತದ	NNP	B-LOC
1	1	ಸ್ವಾತ್ರಂತ್ರ್ಯ	NN	O
2	1	ಚಳುವಳಿಯು	NN	O
3	1	ಬ್ರಿಟಿಷ್	NNP	B-COM
4	1	ಸಾಮ್ರಾಜ್ಯದಿಂದ	NN	O
5	1	ಸ್ವಾತ್ರಂತ್ರ್ಯವನ್ನು	NN	O
6	1	ಪಡೆಯಲು	NN	O
7	1	ಭಾರತೀಯರು	NNP	B-COM
8	1	ನಡೆಸಿದ	NN	O
9	1	ಹೋರಾಟ	NN	O
10	1	.	SYM	O
11	2	ಇದು	PRP	O
12	2	೧೮೫೭ರಿಂದ	NN	O
13	2	೧೯೪೭ರ	NN	B-DATE
14	2	ಆಗಸ್ಟ್	NN	B-DATE
15	2	೧೫ರವರೆಗೆ	NN	O
16	2	ನಡೆದ	NN	O
17	2	ಭಾರತದ	NNP	B-LOC
18	2	ವಿವಿಧ	JJ	O
19	2	ಸಂಘ-ಸಂಸ್ಥೆಗಳ	NN	O
20	2	ತತ್ವಗಳು,	NN	O
21	2	ದಂಗೆಗಳು,	NN	O
22	2	ಹೋರಾಟಗಳು	NN	O
23	2	ಮತ್ತು	CC	O
24	2	ಪ್ರಾಣಾಹುತಿಗಳ	NN	O
25	2	ಸಂಗಮ	NN	O
26	2	.	SYM	O
27	3	೧೭೫೭ರಲ್ಲಿ	NN	O
28	3	ವಂಗದ	NN	O
29	3	ನವಾಬನಾಗಿದ್ದ	NN	O
30	3	ಸಿರಾಜುದ್ದೌಲನನ್ನು	NN	O
31	3	ಪ್ಲಾಸೀ	NN	B-LOC
32	3	ಕದನದಲ್ಲಿ	NN	O
33	3	ಪರಾಜಯಗೊಳಿಸಿದ	NN	O
34	3	ಈಸ್ಟ್	NN	B-ORG
35	3	ಇಂಡಿಯ	NNP	I-ORG
36	3	ಕಂಪನಿಯ	NN	I-ORG
37	3	ಬ್ರಿಟಿಷ್	NNP	B-COM
38	3	ಸೈನ್ಯ,	NN	O
39	3	ಇದರಲ್ಲಿ	PRP	O
40	3	ನೆರವಾದ	NN	O
41	3	ಮೀರ್	NN	O
42	3	ಜಾಫರನಿಗೆ	NN	O
43	3	ಪಟ್ಟಕಟ್ಟಿತು	NN	O
44	3	.	SYM	O
45	4	ಅಲ್ಪ	QF	O
46	4	ಕಾಲಾನಂತರ	NN	O
47	4	ಕಂಪನಿಯ	NN	O
48	4	ಅಧಿಕಾರಿ	NN	O
49	4	ರಾಬರ್ಟ್	NN	O
50	4	ಕ್ಲೈವ್‍ನ	NN	O
51	4	ಉಪಾಯಗಳಿಂದ	NN	O
52	4	ವಂಗದ	NN	O
53	4	ಅಧಿಕಾರವನ್ನು	NN	O
54	4	ತನ್ನ	PRP	O
55	4	ಕೈವಶಮಾಡಿಕೊಂಡಿತು	NN	O
56	4	.	SYM	O
57	5	ಅಲ್ಲಿಂದ	NST	O
58	5	ಮುಂದೆ	NST	O
59	5	ಬಹುಬೇಗೆ	NN	O
60	5	ತಮ್ಮ	PRP	O
61	5	ರಾಜಕೀಯ	NN	O
62	5	ನೀತಿಗಳಿಂದ	NN	O
63	5	ಭಾರತದ	NNP	B-LOC
64	5	ಬಹುಭಾಗವನ್ನು	NN	O
65	5	ಅವರು	PRP	O
66	5	ಕೈವಶ	NN	O
67	5	ಮಾಡಿಕೊಂಡರು	NN	O
68	5	.	SYM	O
69	6	ಪ್ಲಾಸೀ	NN	B-LOC
70	6	ಕದನದಿಂದ	NN	O
71	6	ಸರಿಯಾಗಿ	NN	O
72	6	ನೂರು	NN	B-LOC
73	6	ವರ್ಷಗಳ	NN	O
74	6	ನಂತರ	NN	O
75	6	ಅಂದರೆ	NN	O
76	6	೧೮೫೭ರಲ್ಲಿ	NN	O
77	6	ಭಾರತದ	NN	B-LOC
78	6	ಪ್ರಥಮ	NN	O
79	6	ಸ್ವಾತಂತ್ರ್ಯ	NN	O
80	6	ಸಂಗ್ರಾಮ(ಅಥವ	NN	O
81	6	೧೮೫೭ರ	NN	B-DATE
82	6	ಸಿಪಾಯಿ	NN	O
83	6	ದಂಗೆ)	NN	O
84	6	ಕಿಡಿಕಾರಿತು	NN	O
85	6	.	SYM	O
86	7	ಆಂಗ್ಲರ	NN	O
87	7	ದಬ್ಬಾಳಿಕೆಯವಿರುದ್ಧ	NN	O
88	7	ಸಿಪಾಯಿಗಳೂ,	NN	O
89	7	ರಾಜ್ಯಗಳೂ	NN	O
90	7	ತಿರುಗಿಬಿದ್ದು	NN	O
91	7	ಪ್ರತಿಭಟಿಸಿದವಾದರೂ,	NN	O
92	7	ವ್ಯವಸ್ಥಿತವಾದ	NN	O
93	7	ಯೋಜನೆಯಿಲ್ಲದಿದ್ದರಿಂದ	NN	O
94	7	ದಂಗೆ	NN	O
95	7	ಹತ್ತಿಕ್ಕಲ್ಪಟ್ಟಿತು	NN	O
96	7	.	SYM	O
97	8	ಸಿಪಾಯಿ	NN	O
98	8	ದಂಗೆ	NN	O
99	8	ವಿಫಲವಾದ	NN	O
100	8	ಮೇಲೆ,	NN	O
101	8	ಭಾರತದ	NNP	B-LOC
102	8	ವಿದ್ಯಾವಂತರು	NN	B-ROL
103	8	ಎಚ್ಚೆತ್ತುಕೊಂಡರು	NN	O
104	8	ಹಾಗೂ	CC	O
105	8	ರಾಜಕೀಯವಾಗಿ	NN	O
106	8	ಸಂಘಟಿತರಾದರು	NN	O
107	8	.	SYM	O
108	9	೧೮೮೫ರಲ್ಲಿ	NN	O
109	9	ಸ್ಥಾಪಿತವಾದ	NN	O
110	9	ಭಾರತೀಯ	NN	B-ORG
111	9	ರಾಷ್ಟ್ರೀಯ	JJ	I-ORG
112	9	ಕಾಂಗ್ರೆಸ್ಮೊದಲು	NN	I-ORG
113	9	ಬ್ರಿಟಿಷ್	NNP	B-COM
114	9	ಸಾಮ್ರಾಜ್ಯದ	NN	I-COM
115	9	ಅಧೀನತೆಯಲ್ಲಿಯೇ	NN	O
116	9	ಭಾರತೀಯರಿಗೆ	NNP	O
117	9	ಹೆಚ್ಚು	QF	O
118	9	ಹಕ್ಕು-ಪ್ರಾತಿನಿಧ್ಯಗಳಿಗಾಗಿ	NN	O
119	9	ಹೋರಾಟ	NN	O
120	9	ಪ್ರಾರಂಭಿಸಿತು	NN	O
121	9	.	SYM	O
122	10	೨೦ನೇ	NN	B-NUM
123	10	ಶತಮಾನದ	NN	O
